id ,cella,distance_cQsW,distance_kpOU,distance_94gJ,distance_Cvj5,distance_cGTg,distance_At5a
97,3,157.195299519,-1000,188.440101185,405.770600684,291.270683048,169.189657922
98,3,157.195299519,-1000,205.996282157,405.770600684,316.866291585,151.674941902
99,3,157.195299519,-1000,188.440101185,405.770600684,245.425873323,135.760943593
100,3,143.341061043,-1000,188.440101185,405.770600684,267.494282385,135.760943593
101,3,172.201474334,-1000,188.440101185,373.989775085,267.494282385,169.189657922
102,3,172.201474334,-1000,224.95990907,344.39823094,316.866291585,151.674941902
103,3,157.195299519,-1000,224.95990907,373.989775085,316.866291585,135.760943593
104,3,172.201474334,-1000,205.996282157,344.39823094,316.866291585,135.760943593
105,3,172.201474334,-1000,224.95990907,373.989775085,291.270683048,135.760943593
106,3,157.195299519,-1000,224.95990907,291.270683048,267.494282385,135.760943593
107,3,143.341061043,-1000,205.996282157,316.866291585,267.494282385,169.189657922
108,3,157.195299519,-1000,205.996282157,316.866291585,245.425873323,135.760943593
109,3,143.341061043,-1000,224.95990907,316.866291585,291.270683048,135.760943593
110,3,172.201474334,-1000,205.996282157,316.866291585,316.866291585,151.674941902
111,3,157.195299519,-1000,205.996282157,316.866291585,291.270683048,135.760943593
112,3,172.201474334,-1000,188.440101185,267.494282385,316.866291585,135.760943593
113,3,172.201474334,-1000,224.95990907,267.494282385,245.425873323,169.189657922
114,3,172.201474334,-1000,224.95990907,267.494282385,316.866291585,135.760943593
115,3,157.195299519,-1000,224.95990907,267.494282385,267.494282385,135.760943593
116,3,157.195299519,-1000,188.440101185,267.494282385,245.425873323,151.674941902
117,3,172.201474334,-1000,224.95990907,405.770600684,245.425873323,169.189657922
118,3,143.341061043,-1000,205.996282157,405.770600684,316.866291585,135.760943593
119,3,143.341061043,-1000,224.95990907,267.494282385,316.866291585,151.674941902
120,4,344.39823094,-1000,188.440101185,72.7272827591,130.562632641,108.238520426
121,4,245.425873323,-1000,172.201474334,72.7272827591,157.195299519,108.238520426
122,4,316.866291585,-1000,172.201474334,72.7272827591,245.425873323,108.238520426
