cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,rssi_At5a,distance_At5a
cazzo3,0.0,0.0,0.0,0.0,-73.0,53.345013934089906,-68.0,30.91655846159923,-83.0,143.34106104323652,-67.0,108.23852042624587
cazzo3,-77.0,80.42696273728642,-78.0,88.82761508564595,-73.0,53.345013934089906,-69.0,34.58635039490085,-83.0,143.34106104323652,-67.0,108.23852042624587
cazzo3,-77.0,80.42696273728642,-77.0,80.42696273728642,-72.0,47.97472615363984,-69.0,34.58635039490085,-81.0,118.78808676203266,-67.0,108.23852042624587
cazzo3,-77.0,80.42696273728642,-76.0,72.72728275906731,-73.0,53.345013934089906,-69.0,34.58635039490085,-81.0,118.78808676203266,-65.0,85.70987866437625
cazzo3,-77.0,80.42696273728642,-77.0,80.42696273728642,-74.0,59.232244464959585,-70.0,38.63088335482623,-82.0,130.5626326409025,-66.0,96.4021832656627
cazzo3,-76.0,72.72728275906731,-77.0,80.42696273728642,-72.0,47.97472615363984,-68.0,30.91655846159923,-80.0,107.94950998807676,-65.0,85.70987866437625
cazzo3,-77.0,80.42696273728642,-76.0,72.72728275906731,-72.0,47.97472615363984,-69.0,34.58635039490085,-81.0,118.78808676203266,-65.0,85.70987866437625
cazzo3,-79.0,97.98282444405858,-78.0,88.82761508564595,-72.0,47.97472615363984,-70.0,38.63088335482623,-80.0,107.94950998807676,-67.0,108.23852042624587
cazzo3,-77.0,80.42696273728642,-78.0,88.82761508564595,-73.0,53.345013934089906,-69.0,34.58635039490085,-81.0,118.78808676203266,-66.0,96.4021832656627
cazzo3,-76.0,72.72728275906731,-77.0,80.42696273728642,-72.0,47.97472615363984,-69.0,34.58635039490085,-80.0,107.94950998807676,-65.0,85.70987866437625
cazzo3,-76.0,72.72728275906731,-78.0,88.82761508564595,-73.0,53.345013934089906,-70.0,38.63088335482623,-80.0,107.94950998807676,-65.0,85.70987866437625
cazzo3,-77.0,80.42696273728642,-78.0,88.82761508564595,-73.0,53.345013934089906,-70.0,38.63088335482623,-80.0,107.94950998807676,-66.0,96.4021832656627
cazzo3,-77.0,80.42696273728642,-77.0,80.42696273728642,-72.0,47.97472615363984,-70.0,38.63088335482623,-79.0,97.98282444405858,-66.0,96.4021832656627
cazzo3,-77.0,80.42696273728642,-77.0,80.42696273728642,-73.0,53.345013934089906,-69.0,34.58635039490085,-80.0,107.94950998807676,-66.0,96.4021832656627
cazzo3,-77.0,80.42696273728642,-78.0,88.82761508564595,-72.0,47.97472615363984,-69.0,34.58635039490085,-79.0,97.98282444405858,-65.0,85.70987866437625
cazzo3,-77.0,80.42696273728642,-78.0,88.82761508564595,-72.0,47.97472615363984,-69.0,34.58635039490085,-79.0,97.98282444405858,-65.0,85.70987866437625
cazzo3,-76.0,72.72728275906731,-79.0,97.98282444405858,-72.0,47.97472615363984,-69.0,34.58635039490085,-80.0,107.94950998807676,-66.0,96.4021832656627
cazzo3,-75.0,65.67816922105449,-77.0,80.42696273728642,-74.0,59.232244464959585,-69.0,34.58635039490085,-80.0,107.94950998807676,-67.0,108.23852042624587
cazzo3,-78.0,88.82761508564595,-79.0,97.98282444405858,-74.0,59.232244464959585,-69.0,34.58635039490085,-79.0,97.98282444405858,-66.0,96.4021832656627
cazzo3,-76.0,72.72728275906731,-78.0,88.82761508564595,-72.0,47.97472615363984,-69.0,34.58635039490085,-80.0,107.94950998807676,-66.0,96.4021832656627
