cella,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,rssi_At5a,distance_At5a
1,-87.0,205.9962821573771,-1000,-1000,-85.0,172.20147433393572,-73.0,53.345013934089906,-78.0,88.82761508564595,-79.0,385.20664988101305
1,-86.0,188.44010118476592,-1000,-1000,-86.0,188.44010118476592,-72.0,47.97472615363984,-80.0,107.94950998807676,-77.0,316.12971163455256
2,-84.0,157.19529951858468,-1000,-1000,-1000,-1000,-92.0,-1000,-85.0,172.20147433393572,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-94.0,373.9897750852545,-84.0,157.19529951858468,-87.0,205.9962821573771,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-91.0,291.2706830479703,-87.0,205.9962821573771,-79.0,97.98282444405858,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-94.0,373.9897750852545,-88.0,224.95990907027343,-80.0,107.94950998807676,-65.0,85.70987866437625
2,-82.0,130.5626326409025,-1000,-1000,-89.0,245.4258733233999,-82.0,130.5626326409025,-79.0,97.98282444405858,-66.0,96.4021832656627
2,-85.0,172.20147433393572,-1000,-1000,-90.0,267.49428238513224,-88.0,224.95990907027343,-79.0,97.98282444405858,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-87.0,205.9962821573771,-80.0,107.94950998807676,-65.0,85.70987866437625
2,-85.0,172.20147433393572,-1000,-1000,-92.0,316.86629158494924,-83.0,143.34106104323652,-79.0,97.98282444405858,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-90.0,267.49428238513224,-89.0,245.4258733233999,-82.0,130.5626326409025,-64.0,76.06612134489447
2,-82.0,130.5626326409025,-1000,-1000,-93.0,344.3982309398398,-84.0,157.19529951858468,-82.0,130.5626326409025,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-90.0,267.49428238513224,-84.0,157.19529951858468,-79.0,97.98282444405858,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-92.0,316.86629158494924,-87.0,205.9962821573771,-82.0,130.5626326409025,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-89.0,245.4258733233999,-87.0,205.9962821573771,-79.0,97.98282444405858,-66.0,96.4021832656627
2,-86.0,188.44010118476592,-1000,-1000,-93.0,344.3982309398398,-86.0,188.44010118476592,-81.0,118.78808676203266,-65.0,85.70987866437625
2,-85.0,172.20147433393572,-1000,-1000,-93.0,344.3982309398398,-85.0,172.20147433393572,-80.0,107.94950998807676,-65.0,85.70987866437625
2,-83.0,143.34106104323652,-1000,-1000,-90.0,267.49428238513224,-84.0,157.19529951858468,-80.0,107.94950998807676,-66.0,96.4021832656627
2,-84.0,157.19529951858468,-1000,-1000,-92.0,316.86629158494924,-86.0,188.44010118476592,-79.0,97.98282444405858,-65.0,85.70987866437625
2,-84.0,157.19529951858468,-1000,-1000,-92.0,316.86629158494924,-83.0,143.34106104323652,-81.0,118.78808676203266,-65.0,85.70987866437625
2,-86.0,188.44010118476592,-1000,-1000,-92.0,316.86629158494924,-82.0,130.5626326409025,-81.0,118.78808676203266,-64.0,76.06612134489447
2,-86.0,188.44010118476592,-1000,-1000,-93.0,344.3982309398398,-83.0,143.34106104323652,-80.0,107.94950998807676,-64.0,76.06612134489447
2,-89.0,245.4258733233999,-1000,-1000,-90.0,267.49428238513224,-82.0,130.5626326409025,-86.0,188.44010118476592,-65.0,85.70987866437625
