cella,rssi_kpOU,rssi_Cvj5,rssi_cGTg,rssi_At5a,
6,-100,-90,-78,-93,
6,-100,-91,-79,-92,
6,-100,-92,-79,-92,
6,-100,-95,-79,-90,
6,-100,-92,-79,-91,
6,-100,-94,-78,-90,
6,-100,-94,-79,-92,
6,-100,-93,-79,-92,
6,-100,-95,-79,-91,
6,-100,-92,-79,-93,
6,-100,-93,-79,-90,
6,-100,-93,-79,-92,
6,-100,-92,-79,-91,
6,-100,-94,-79,-91,
6,-100,-92,-79,-92,
6,-100,-95,-79,-92,
6,-100,-93,-79,-90,
6,-100,-92,-79,-92,
6,-100,-94,-79,-92,
6,-100,-93,-79,-92,
6,-100,-90,-79,-91,
6,-100,-91,-79,-90,
6,-100,-92,-79,-90,
6,-100,-93,-79,-90,
6,-100,-94,-79,-92,
6,-100,-93,-79,-89,
6,-100,-92,-79,-92,
6,-100,-94,-80,-90,
6,-100,-92,-79,-91,
6,-100,-93,-78,-93,
6,-100,-92,-79,-91,
6,-100,-92,-79,-90,
6,-100,-93,-78,-92,
6,-100,-92,-78,-90,
6,-100,-90,-78,-89,
6,-100,-92,-78,-92,
6,-100,-90,-78,-90,
6,-100,-92,-78,-91,
6,-100,-93,-79,-91,
6,-100,-91,-78,-91,
6,-100,-91,-78,-90,
6,-100,-92,-78,-92,
6,-100,-92,-78,-90,
6,-100,-93,-79,-91,
6,-100,-92,-79,-90,
6,-100,-94,-79,-91,
6,-100,-92,-79,-91,
6,-100,-94,-79,-92,
6,-100,-93,-79,-92,
6,-100,-94,-79,-92,
6,-100,-92,-79,-91,
6,-100,-92,-80,-92,
6,-100,-93,-79,-92,
6,-100,-94,-79,-95,
7,-100,-100,-100,-88,
7,-100,-100,-100,-86,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-84,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-84,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
7,-100,-100,-100,-82,
7,-100,-100,-100,-83,
7,-100,-100,-100,-83,
