cell,rssi_cQsW,distance_cQsW,rssi_kpOU,distance_kpOU,rssi_94gJ,distance_94gJ,rssi_Cvj5,distance_Cvj5,rssi_cGTg,distance_cGTg,,
7,-71,43.08223774,-85,172.2014743,-86,188.4401012,-89,245.4258733,-74,232.7349874,,
7,-90,267.4942824,-91,291.270683,-93,344.3982309,-93,344.3982309,-82,513.3982156,,
7,-77,80.42696274,-86,188.4401012,-80,107.94951,-88,224.9599091,-70,151.6749419,,
7,-77,80.42696274,-81,118.7880868,-89,245.4258733,-90,267.4942824,-81,467.0689842,,
7,-90,267.4942824,-86,188.4401012,-90,267.4942824,-86,188.4401012,-88,884.8225833,,
7,-76,72.72728276,-90,267.4942824,-81,118.7880868,-91,291.270683,-75,258.0977269,,
7,-89,245.4258733,-79,97.98282444,-88,224.9599091,-80,107.94951,-83,563.6774171,,
7,-67,27.59154334,-83,143.341061,-87,205.9962822,-91,291.270683,-75,258.0977269,,
7,-63,17.2079086,-86,188.4401012,-84,157.1952995,-86,188.4401012,-78,349.1837054,,
7,-72,47.97472615,-82,130.5626326,-80,107.94951,-86,188.4401012,-86,741.1283257,,
7,-72,47.97472615,-86,188.4401012,-92,316.8662916,-82,130.5626326,-70,151.6749419,,
7,-71,43.08223774,-86,188.4401012,-91,291.270683,-88,224.9599091,-79,385.2066499,,
7,-65,21.86590278,-90,267.4942824,-92,316.8662916,-89,245.4258733,-73,209.5705386,,
7,-91,291.270683,-89,245.4258733,-83,143.341061,-89,245.4258733,-84,618.1896018,,
7,-82,130.5626326,-80,107.94951,-92,316.8662916,-84,157.1952995,-79,385.2066499,,
7,-80,107.94951,-84,157.1952995,-82,130.5626326,-86,188.4401012,-84,618.1896018,,
7,-64,19.41494774,-87,205.9962822,-80,107.94951,-88,224.9599091,-77,316.1297116,,
8,-83,143.341061,-87,205.9962822,-88,,-86,188.4401012,-81,467.0689842,,
8,-72,47.97472615,-85,172.2014743,-86,188.4401012,-86,188.4401012,-82,513.3982156,,
8,-84,157.1952995,-82,130.5626326,-93,344.3982309,-87,205.9962822,-83,563.6774171,,
8,-79,97.98282444,-80,107.94951,-84,157.1952995,-85,172.2014743,-76,285.8338294,,
8,-77,80.42696274,-81,118.7880868,-92,316.8662916,-90,267.4942824,-84,618.1896018,,
8,-69,34.58635039,-81,118.7880868,-93,344.3982309,-84,157.1952995,-74,232.7349874,,
8,-90,267.4942824,-80,107.94951,-96,439.8770462,-88,224.9599091,-74,232.7349874,,
8,-84,157.1952995,-76,72.72728276,-84,157.1952995,-84,157.1952995,-74,232.7349874,,
8,-80,107.94951,-87,205.9962822,-86,188.4401012,-82,130.5626326,-75,258.0977269,,
8,-87,205.9962822,-82,130.5626326,-81,118.7880868,-89,245.4258733,-74,232.7349874,,
8,-81,118.7880868,-79,97.98282444,-84,157.1952995,-82,130.5626326,-73,209.5705386,,
8,-77,80.42696274,-81,118.7880868,-90,267.4942824,-92,316.8662916,-83,563.6774171,,
8,-79,97.98282444,-83,143.341061,-91,291.270683,-83,143.341061,-81,467.0689842,,
8,-72,47.97472615,-80,107.94951,-88,224.9599091,-78,88.82761509,-79,385.2066499,,
8,-73,53.34501393,-78,88.82761509,-84,157.1952995,-89,245.4258733,-76,285.8338294,,
8,-84,157.1952995,-86,188.4401012,-89,245.4258733,-76,72.72728276,-72,188.4401012,,
8,-84,157.1952995,-77,80.42696274,-82,130.5626326,-74,59.23224446,-75,258.0977269,,
8,-80,107.94951,-87,205.9962822,-91,291.270683,-84,157.1952995,-81,467.0689842,,
8,-74,59.23224446,-90,267.4942824,-94,373.9897751,-81,118.7880868,-76,285.8338294,,
8,-74,59.23224446,-75,65.67816922,-92,316.8662916,-77,80.42696274,-76,285.8338294,,
8,-80,107.94951,-90,267.4942824,-81,118.7880868,-77,80.42696274,-79,385.2066499,,
8,-91,291.270683,-78,88.82761509,-89,245.4258733,-79,97.98282444,-82,513.3982156,,
8,-87,205.9962822,-89,245.4258733,-89,245.4258733,-76,72.72728276,-74,232.7349874,,
